variante,ciclo,endereco,endereco_norm
demo,1,67337816,8282051
demo,2,67337832,8282053
demo,3,67337848,8282055
demo,4,67337864,8282057
demo,5,67337880,8282059
demo,6,67337896,8282061
demo,7,67337912,8282063
demo,8,67337928,8282065
demo,9,67337944,8282067
demo,10,67337960,8282069
demo,11,67337976,8282071
demo,12,67337992,8282073
demo,13,67338008,8282075
demo,14,67338024,8282077
demo,15,67338040,8282079
demo,16,67338056,8282081
demo,17,67338072,8282083
demo,18,67338088,8282085
demo,19,67338104,8282087
demo,20,67341830,8282552
demo,21,67341200,8282474
demo,22,67341072,8282458
demo,23,67341064,8282457
demo,24,67341080,8282459
demo,25,67341088,8282460
demo,26,67341328,8282490
demo,27,67341224,8282477
demo,28,67341496,8282511
demo,29,67341704,8282537
demo,30,67341096,8282461
demo,31,67337936,8282066
demo,32,67341112,8282463
demo,33,67337968,8282070
demo,34,67341328,8282490
demo,35,67341336,8282491
demo,36,67338096,8282086
demo,37,67341272,8282483
demo,38,67341160,8282469
demo,39,67341408,8282500
demo,40,67338032,8282078
demo,41,67341280,8282484
demo,42,67338016,8282076
demo,43,67338064,8282082
demo,44,67341320,8282489
demo,45,67338080,8282084
demo,46,67112360,8253869
demo,47,67112368,8253870
demo,48,67112376,8253871
demo,49,67341830,8282552
demo,50,67340976,8282446
demo,51,67337936,8282066
demo,52,67341104,8282462
demo,53,67337952,8282068
demo,54,67341424,8282502
demo,55,137422175536,17177636766
demo,56,137422175520,17177636764
demo,57,137422175528,17177636765
demo,58,67341088,8282460
demo,59,67337888,8282060
demo,60,67112296,8253861
demo,61,67112288,8253860
demo,62,67110894,8253685
demo,63,67340976,8282446
demo,64,67110896,8253686
demo,65,67110892,8253685
demo,66,67112320,8253864
demo,67,67112312,8253863
demo,68,67111014,8253700
demo,69,67340976,8282446
demo,70,67111016,8253701
demo,71,67111012,8253700
demo,72,67112344,8253867
demo,73,67112336,8253866
demo,74,67110294,8253610
demo,75,67340976,8282446
demo,76,67110296,8253611
demo,77,67110292,8253610
demo,78,67340976,8282446
demo,79,67341830,8282552
demo,80,137422175568,17177636770
demo,81,137422175552,17177636768
demo,82,137422175560,17177636769
demo,83,67341088,8282460
demo,84,67337888,8282060
demo,85,137422175448,17177636755
demo,86,67341704,8282537
demo,87,67337856,8282056
demo,88,67341830,8282552
demo,89,67109936,8253566
demo,90,67109944,8253567
demo,91,67109940,8253566
demo,92,67109948,8253567
demo,93,137422175448,17177636755
demo,94,137422175504,17177636762
demo,95,137422175496,17177636761
demo,96,137422175648,17177636780
demo,97,137422175672,17177636783
demo,98,137422175680,17177636784
demo,99,137422175688,17177636785
demo,100,137422175696,17177636786
demo,101,137422175704,17177636787
demo,102,137422175712,17177636788
demo,103,137422175720,17177636789
demo,104,137422175728,17177636790
demo,105,137422175736,17177636791
demo,106,137422175744,17177636792
demo,107,137422175752,17177636793
demo,108,137422175760,17177636794
demo,109,137422175768,17177636795
demo,110,137422175776,17177636796
demo,111,137422175784,17177636797
demo,112,137422175792,17177636798
demo,113,137422175800,17177636799
demo,114,137422175808,17177636800
demo,115,137422175816,17177636801
demo,116,137422175824,17177636802
demo,117,137422175832,17177636803
demo,118,137422175840,17177636804
demo,119,137422175848,17177636805
demo,120,137422175856,17177636806
demo,121,137422175864,17177636807
demo,122,137422175872,17177636808
demo,123,137422175880,17177636809
demo,124,137422175888,17177636810
demo,125,137422175896,17177636811
demo,126,137422175904,17177636812
demo,127,137422175912,17177636813
demo,128,137422175920,17177636814
demo,129,137422175928,17177636815
demo,130,137422175936,17177636816
demo,131,137422175944,17177636817
demo,132,137422175952,17177636818
demo,133,137422175960,17177636819
demo,134,137422175968,17177636820
demo,135,137422175976,17177636821
demo,136,137422175984,17177636822
demo,137,137422175992,17177636823
demo,138,137422176000,17177636824
demo,139,137422176008,17177636825
demo,140,137422176016,17177636826
demo,141,137422176024,17177636827
demo,142,137422176032,17177636828
demo,143,137422176040,17177636829
demo,144,137422176048,17177636830
demo,145,137422176056,17177636831
demo,146,137422176064,17177636832
demo,147,137422176072,17177636833
demo,148,137422176080,17177636834
demo,149,137422176088,17177636835
demo,150,137422176096,17177636836
demo,151,137422176104,17177636837
demo,152,137422176112,17177636838
demo,153,137422176120,17177636839
demo,154,137422176128,17177636840
demo,155,137422176136,17177636841
demo,156,137422176144,17177636842
demo,157,137422176152,17177636843
demo,158,137422176160,17177636844
demo,159,137422176168,17177636845
demo,160,137422176176,17177636846
demo,161,137422176184,17177636847
demo,162,137422176192,17177636848
demo,163,137422176200,17177636849
demo,164,137422176208,17177636850
demo,165,137422176216,17177636851
demo,166,137422176224,17177636852
demo,167,137422176232,17177636853
demo,168,137422176240,17177636854
demo,169,137422176248,17177636855
demo,170,137422176256,17177636856
demo,171,137422176264,17177636857
demo,172,137422176272,17177636858
demo,173,137422176280,17177636859
demo,174,137422176288,17177636860
demo,175,137422176296,17177636861
demo,176,137422176304,17177636862
demo,177,137422176312,17177636863
demo,178,137422176320,17177636864
demo,179,137422176328,17177636865
demo,180,137422176336,17177636866
demo,181,137422176344,17177636867
demo,182,137422176352,17177636868
demo,183,137422176360,17177636869
demo,184,137422176368,17177636870
demo,185,137422176376,17177636871
demo,186,137422176384,17177636872
demo,187,137422176392,17177636873
demo,188,137422176400,17177636874
demo,189,137422176408,17177636875
demo,190,137422176416,17177636876
demo,191,137422176424,17177636877
demo,192,137422176432,17177636878
demo,193,137422176440,17177636879
demo,194,137422176448,17177636880
demo,195,137422176456,17177636881
demo,196,137422176464,17177636882
demo,197,137422176472,17177636883
demo,198,137422176480,17177636884
demo,199,137422176488,17177636885
demo,200,137422176496,17177636886
demo,201,137422176504,17177636887
demo,202,137422176512,17177636888
demo,203,137422176520,17177636889
demo,204,137422176528,17177636890
demo,205,137422176536,17177636891
demo,206,137422176544,17177636892
demo,207,137422176552,17177636893
demo,208,137422176560,17177636894
demo,209,137422176568,17177636895
demo,210,137422176576,17177636896
demo,211,137422176584,17177636897
demo,212,137422176592,17177636898
demo,213,137422176600,17177636899
demo,214,137422176608,17177636900
demo,215,137422176616,17177636901
demo,216,137422176624,17177636902
demo,217,137422176632,17177636903
demo,218,137422176640,17177636904
demo,219,137422176648,17177636905
demo,220,137422176656,17177636906
demo,221,137422176664,17177636907
demo,222,137422176672,17177636908
demo,223,137422176680,17177636909
demo,224,137422176688,17177636910
demo,225,137422176696,17177636911
demo,226,137422176704,17177636912
demo,227,137422176712,17177636913
demo,228,137422176720,17177636914
demo,229,137422176728,17177636915
demo,230,137422176736,17177636916
demo,231,137422176744,17177636917
demo,232,137422176752,17177636918
demo,233,137422174976,17177636696
demo,234,137422175128,17177636715
demo,235,137422175160,17177636719
demo,236,137422174952,17177636693
demo,237,137422174968,17177636695
demo,238,137422175000,17177636699
