variante,ciclo,endereco,endereco_norm
demo_matriz,1,67337816,8282051
demo_matriz,2,67337832,8282053
demo_matriz,3,67337848,8282055
demo_matriz,4,67337864,8282057
demo_matriz,5,67337880,8282059
demo_matriz,6,67337896,8282061
demo_matriz,7,67337912,8282063
demo_matriz,8,67337928,8282065
demo_matriz,9,67337944,8282067
demo_matriz,10,67337960,8282069
demo_matriz,11,67337976,8282071
demo_matriz,12,67337992,8282073
demo_matriz,13,67338008,8282075
demo_matriz,14,67338024,8282077
demo_matriz,15,67338040,8282079
demo_matriz,16,67338056,8282081
demo_matriz,17,67338072,8282083
demo_matriz,18,67338088,8282085
demo_matriz,19,67338104,8282087
demo_matriz,20,67341830,8282552
demo_matriz,21,67341200,8282474
demo_matriz,22,67341072,8282458
demo_matriz,23,67341064,8282457
demo_matriz,24,67341080,8282459
demo_matriz,25,67341088,8282460
demo_matriz,26,67341328,8282490
demo_matriz,27,67341224,8282477
demo_matriz,28,67341496,8282511
demo_matriz,29,67341704,8282537
demo_matriz,30,67341096,8282461
demo_matriz,31,67337936,8282066
demo_matriz,32,67341112,8282463
demo_matriz,33,67337968,8282070
demo_matriz,34,67341328,8282490
demo_matriz,35,67341336,8282491
demo_matriz,36,67338096,8282086
demo_matriz,37,67341272,8282483
demo_matriz,38,67341160,8282469
demo_matriz,39,67341408,8282500
demo_matriz,40,67338032,8282078
demo_matriz,41,67341280,8282484
demo_matriz,42,67338016,8282076
demo_matriz,43,67338064,8282082
demo_matriz,44,67341320,8282489
demo_matriz,45,67338080,8282084
demo_matriz,46,67112360,8253869
demo_matriz,47,67112368,8253870
demo_matriz,48,67112376,8253871
demo_matriz,49,67341830,8282552
demo_matriz,50,67340976,8282446
demo_matriz,51,67337936,8282066
demo_matriz,52,67341104,8282462
demo_matriz,53,67337952,8282068
demo_matriz,54,67341424,8282502
demo_matriz,55,137422175520,17177636764
demo_matriz,56,137422175504,17177636762
demo_matriz,57,137422175512,17177636763
demo_matriz,58,67341088,8282460
demo_matriz,59,67337888,8282060
demo_matriz,60,67112296,8253861
demo_matriz,61,67112288,8253860
demo_matriz,62,67110894,8253685
demo_matriz,63,67340976,8282446
demo_matriz,64,67110896,8253686
demo_matriz,65,67110892,8253685
demo_matriz,66,67112320,8253864
demo_matriz,67,67112312,8253863
demo_matriz,68,67111014,8253700
demo_matriz,69,67340976,8282446
demo_matriz,70,67111016,8253701
demo_matriz,71,67111012,8253700
demo_matriz,72,67112344,8253867
demo_matriz,73,67112336,8253866
demo_matriz,74,67110294,8253610
demo_matriz,75,67340976,8282446
demo_matriz,76,67110296,8253611
demo_matriz,77,67110292,8253610
demo_matriz,78,67340976,8282446
demo_matriz,79,67341830,8282552
demo_matriz,80,137422175552,17177636768
demo_matriz,81,137422175536,17177636766
demo_matriz,82,137422175544,17177636767
demo_matriz,83,67341088,8282460
demo_matriz,84,67337888,8282060
demo_matriz,85,137422175432,17177636753
demo_matriz,86,67341704,8282537
demo_matriz,87,67337856,8282056
demo_matriz,88,67341830,8282552
demo_matriz,89,67109936,8253566
demo_matriz,90,67109944,8253567
demo_matriz,91,67109940,8253566
demo_matriz,92,67109948,8253567
demo_matriz,93,137422175432,17177636753
demo_matriz,94,137422175488,17177636760
demo_matriz,95,137422175480,17177636759
demo_matriz,96,137422175632,17177636778
demo_matriz,97,137422175656,17177636781
demo_matriz,98,137422175664,17177636782
demo_matriz,99,137422175672,17177636783
demo_matriz,100,137422175680,17177636784
demo_matriz,101,137422175688,17177636785
demo_matriz,102,137422175696,17177636786
demo_matriz,103,137422175704,17177636787
demo_matriz,104,137422175712,17177636788
demo_matriz,105,137422175720,17177636789
demo_matriz,106,137422175728,17177636790
demo_matriz,107,137422175736,17177636791
demo_matriz,108,137422175744,17177636792
demo_matriz,109,137422175752,17177636793
demo_matriz,110,137422175760,17177636794
demo_matriz,111,137422175768,17177636795
demo_matriz,112,137422175776,17177636796
demo_matriz,113,137422175784,17177636797
demo_matriz,114,137422175792,17177636798
demo_matriz,115,137422175800,17177636799
demo_matriz,116,137422175808,17177636800
demo_matriz,117,137422175816,17177636801
demo_matriz,118,137422175824,17177636802
demo_matriz,119,137422175832,17177636803
demo_matriz,120,137422175840,17177636804
demo_matriz,121,137422175848,17177636805
demo_matriz,122,137422175856,17177636806
demo_matriz,123,137422175864,17177636807
demo_matriz,124,137422175872,17177636808
demo_matriz,125,137422175880,17177636809
demo_matriz,126,137422175888,17177636810
demo_matriz,127,137422175896,17177636811
demo_matriz,128,137422175904,17177636812
demo_matriz,129,137422175912,17177636813
demo_matriz,130,137422175920,17177636814
demo_matriz,131,137422175928,17177636815
demo_matriz,132,137422175936,17177636816
demo_matriz,133,137422175944,17177636817
demo_matriz,134,137422175952,17177636818
demo_matriz,135,137422175960,17177636819
demo_matriz,136,137422175968,17177636820
demo_matriz,137,137422175976,17177636821
demo_matriz,138,137422175984,17177636822
demo_matriz,139,137422175992,17177636823
demo_matriz,140,137422176000,17177636824
demo_matriz,141,137422176008,17177636825
demo_matriz,142,137422176016,17177636826
demo_matriz,143,137422176024,17177636827
demo_matriz,144,137422176032,17177636828
demo_matriz,145,137422176040,17177636829
demo_matriz,146,137422176048,17177636830
demo_matriz,147,137422176056,17177636831
demo_matriz,148,137422176064,17177636832
demo_matriz,149,137422176072,17177636833
demo_matriz,150,137422176080,17177636834
demo_matriz,151,137422176088,17177636835
demo_matriz,152,137422176096,17177636836
demo_matriz,153,137422176104,17177636837
demo_matriz,154,137422176112,17177636838
demo_matriz,155,137422176120,17177636839
demo_matriz,156,137422176128,17177636840
demo_matriz,157,137422176136,17177636841
demo_matriz,158,137422176144,17177636842
demo_matriz,159,137422176152,17177636843
demo_matriz,160,137422176160,17177636844
demo_matriz,161,137422176168,17177636845
demo_matriz,162,137422176176,17177636846
demo_matriz,163,137422176184,17177636847
demo_matriz,164,137422176192,17177636848
demo_matriz,165,137422176200,17177636849
demo_matriz,166,137422176208,17177636850
demo_matriz,167,137422176216,17177636851
demo_matriz,168,137422176224,17177636852
demo_matriz,169,137422176232,17177636853
demo_matriz,170,137422176240,17177636854
demo_matriz,171,137422176248,17177636855
demo_matriz,172,137422176256,17177636856
demo_matriz,173,137422176264,17177636857
demo_matriz,174,137422176272,17177636858
demo_matriz,175,137422176280,17177636859
demo_matriz,176,137422176288,17177636860
demo_matriz,177,137422176296,17177636861
demo_matriz,178,137422176304,17177636862
demo_matriz,179,137422176312,17177636863
demo_matriz,180,137422176320,17177636864
demo_matriz,181,137422176328,17177636865
demo_matriz,182,137422176336,17177636866
demo_matriz,183,137422176344,17177636867
demo_matriz,184,137422176352,17177636868
demo_matriz,185,137422176360,17177636869
demo_matriz,186,137422176368,17177636870
demo_matriz,187,137422176376,17177636871
demo_matriz,188,137422176384,17177636872
demo_matriz,189,137422176392,17177636873
demo_matriz,190,137422176400,17177636874
demo_matriz,191,137422176408,17177636875
demo_matriz,192,137422176416,17177636876
demo_matriz,193,137422176424,17177636877
demo_matriz,194,137422176432,17177636878
demo_matriz,195,137422176440,17177636879
demo_matriz,196,137422176448,17177636880
demo_matriz,197,137422176456,17177636881
demo_matriz,198,137422176464,17177636882
demo_matriz,199,137422176472,17177636883
demo_matriz,200,137422176480,17177636884
demo_matriz,201,137422176488,17177636885
demo_matriz,202,137422176496,17177636886
demo_matriz,203,137422176504,17177636887
demo_matriz,204,137422176512,17177636888
demo_matriz,205,137422176520,17177636889
demo_matriz,206,137422176528,17177636890
demo_matriz,207,137422176536,17177636891
demo_matriz,208,137422176544,17177636892
demo_matriz,209,137422176552,17177636893
demo_matriz,210,137422176560,17177636894
demo_matriz,211,137422176568,17177636895
demo_matriz,212,137422176576,17177636896
demo_matriz,213,137422176584,17177636897
demo_matriz,214,137422176592,17177636898
demo_matriz,215,137422176600,17177636899
demo_matriz,216,137422176608,17177636900
demo_matriz,217,137422176616,17177636901
demo_matriz,218,137422176624,17177636902
demo_matriz,219,137422176632,17177636903
demo_matriz,220,137422176640,17177636904
demo_matriz,221,137422176648,17177636905
demo_matriz,222,137422176656,17177636906
demo_matriz,223,137422176664,17177636907
demo_matriz,224,137422176672,17177636908
demo_matriz,225,137422176680,17177636909
demo_matriz,226,137422176688,17177636910
demo_matriz,227,137422176696,17177636911
demo_matriz,228,137422176704,17177636912
demo_matriz,229,137422176712,17177636913
demo_matriz,230,137422176720,17177636914
demo_matriz,231,137422176728,17177636915
demo_matriz,232,137422176736,17177636916
demo_matriz,233,137422174960,17177636694
demo_matriz,234,137422175112,17177636713
demo_matriz,235,137422175144,17177636717
