variante,ciclo,endereco,endereco_norm
hash,2571895,78479759,9666089
hash,2571896,137422173800,17177627845
hash,2571897,137422173880,17177627855
hash,2571898,137422173896,17177627857
hash,2571899,137422173895,17177627856
hash,2571900,78479712,9666084
hash,2571901,1175640,3075
hash,2571902,78474848,9665476
hash,2571903,78445160,9661765
hash,2571904,78474912,9665484
hash,2571905,78470296,9664907
hash,2571906,80795072,9955504
hash,2571907,81812560,10082690
hash,2571908,80795208,9955521
hash,2571909,80822336,9958912
hash,2571910,80799512,9956059
hash,2571911,137422173736,17177627837
hash,2571912,80795264,9955528
hash,2571913,80795288,9955531
hash,2571914,137422173736,17177627837
hash,2571915,80785512,9954309
hash,2571916,80795112,9955509
hash,2571917,80795072,9955504
hash,2571918,80795120,9955510
hash,2571919,80788400,9954670
hash,2571920,137422173846,17177627850
hash,2571921,137422173846,17177627850
hash,2571922,137422173640,17177627825
hash,2571923,137422173656,17177627827
hash,2571924,137422173672,17177627829
hash,2571925,137422173680,17177627830
hash,2571926,137422173688,17177627831
hash,2571927,137422173696,17177627832
hash,2571928,137422173704,17177627833
hash,2571929,137422173712,17177627834
hash,2571930,137422173720,17177627835
hash,2571931,80795072,9955504
hash,2571932,80795208,9955521
hash,2571933,80822336,9958912
hash,2571934,80799508,9956058
hash,2571935,137422173752,17177627839
hash,2571936,137422173760,17177627840
hash,2571937,137422173768,17177627841
hash,2571938,137422173776,17177627842
hash,2571939,137422173784,17177627843
hash,2571940,137422173792,17177627844
hash,2571941,137422173800,17177627845
hash,2571942,137422173912,17177627859
hash,2571943,81812584,10082693
hash,2571944,137422173928,17177627861
hash,2571945,137422173936,17177627862
hash,2571946,137422173944,17177627863
hash,2571947,137422173952,17177627864
hash,2571948,137422173960,17177627865
hash,2571949,137422173968,17177627866
hash,2571950,137422173976,17177627867
hash,2571951,137422174008,17177627871
hash,2571952,1175616,3072
hash,2571953,78451448,9662551
hash,2571954,1175649,3076
hash,2571955,137422174024,17177627873
hash,2571956,81812584,10082693
hash,2571957,137422174040,17177627875
hash,2571958,137422174048,17177627876
hash,2571959,137422174056,17177627877
hash,2571960,137422174064,17177627878
hash,2571961,137422174072,17177627879
hash,2571962,137422174080,17177627880
hash,2571963,137422174088,17177627881
hash,2571964,1175328,3036
hash,2571965,78466192,9664394
hash,2571966,1151774,91
hash,2571967,137422174056,17177627877
hash,2571968,78468008,9664621
hash,2571969,81812584,10082693
hash,2571970,78471112,9665009
hash,2571971,1175616,3072
hash,2571972,78451448,9662551
hash,2571973,1175840,3100
hash,2571974,1175656,3077
hash,2571975,137422173888,17177627856
hash,2571976,137422173896,17177627857
hash,2571977,137422173904,17177627858
hash,2571978,137422173912,17177627859
hash,2571979,137422173968,17177627866
hash,2571980,1175616,3072
hash,2571981,78451448,9662551
hash,2571982,1175640,3075
hash,2571983,1175856,3102
hash,2571984,137422173960,17177627865
hash,2571985,78474848,9665476
hash,2571986,78445160,9661765
hash,2571987,78474912,9665484
hash,2571988,78470296,9664907
hash,2571989,80795072,9955504
hash,2571990,81812560,10082690
hash,2571991,80795208,9955521
hash,2571992,80822336,9958912
hash,2571993,80799512,9956059
hash,2571994,137422173848,17177627851
hash,2571995,80795264,9955528
hash,2571996,80795288,9955531
hash,2571997,137422173848,17177627851
hash,2571998,80785512,9954309
hash,2571999,80795112,9955509
hash,2572000,80795072,9955504
hash,2572001,80795120,9955510
hash,2572002,80788400,9954670
hash,2572003,1151775,91
hash,2572004,1151774,91
hash,2572005,137422173752,17177627839
hash,2572006,137422173768,17177627841
hash,2572007,137422173784,17177627843
hash,2572008,137422173792,17177627844
hash,2572009,137422173800,17177627845
hash,2572010,137422173808,17177627846
hash,2572011,137422173816,17177627847
hash,2572012,137422173824,17177627848
hash,2572013,137422173832,17177627849
hash,2572014,80795072,9955504
hash,2572015,80795208,9955521
hash,2572016,80822336,9958912
hash,2572017,80799508,9956058
hash,2572018,137422173864,17177627853
hash,2572019,137422173872,17177627854
hash,2572020,137422173880,17177627855
hash,2572021,137422173888,17177627856
hash,2572022,137422173896,17177627857
hash,2572023,137422173904,17177627858
hash,2572024,137422173912,17177627859
hash,2572025,1175616,3072
hash,2572026,78451448,9662551
hash,2572027,137422173976,17177627867
hash,2572028,1175616,3072
hash,2572029,78451448,9662551
hash,2572030,1175649,3076
hash,2572031,137422173992,17177627869
hash,2572032,81812584,10082693
hash,2572033,137422174008,17177627871
hash,2572034,137422174016,17177627872
hash,2572035,137422174024,17177627873
hash,2572036,137422174032,17177627874
hash,2572037,137422174040,17177627875
hash,2572038,137422174048,17177627876
hash,2572039,137422174056,17177627877
hash,2572040,137422174064,17177627878
hash,2572041,137422174072,17177627879
hash,2572042,137422174080,17177627880
hash,2572043,137422174088,17177627881
hash,2572044,137422174104,17177627883
hash,2572045,67457312,8288284
hash,2572046,1175480,3055
hash,2572047,1175616,3072
hash,2572048,78451448,9662551
hash,2572049,1175648,3076
hash,2572050,78465144,9664263
hash,2572051,81812584,10082693
hash,2572052,78471112,9665009
hash,2572053,1175616,3072
hash,2572054,78451448,9662551
hash,2572055,1175840,3100
hash,2572056,1175656,3077
hash,2572057,137422173952,17177627864
hash,2572058,137422173960,17177627865
hash,2572059,137422173968,17177627866
hash,2572060,137422173976,17177627867
hash,2572061,137422174000,17177627870
hash,2572062,1175616,3072
hash,2572063,78451448,9662551
hash,2572064,1175872,3104
hash,2572065,1175849,3101
hash,2572066,1175848,3101
hash,2572067,1175856,3102
hash,2572068,78481840,9666350
hash,2572069,78450064,9662378
hash,2572070,78468136,9664637
hash,2572071,81812584,10082693
hash,2572072,78461464,9663803
hash,2572073,78465560,9664315
hash,2572074,78485512,9666809
hash,2572075,137422173800,17177627845
hash,2572076,1175832,3099
hash,2572077,78483480,9666555
hash,2572078,78482784,9666468
hash,2572079,137422173808,17177627846
hash,2572080,137422173816,17177627847
hash,2572081,137422173824,17177627848
hash,2572082,137422173832,17177627849
hash,2572083,137422173840,17177627850
hash,2572084,137422173848,17177627851
hash,2572085,1175648,3076
hash,2572086,78479760,9666090
hash,2572087,78479762,9666090
hash,2572088,137422173800,17177627845
hash,2572089,137422173880,17177627855
hash,2572090,137422173896,17177627857
hash,2572091,137422173895,17177627856
hash,2572092,78479712,9666084
hash,2572093,1175640,3075
hash,2572094,78474848,9665476
hash,2572095,78445160,9661765
hash,2572096,78474912,9665484
hash,2572097,78470296,9664907
hash,2572098,80795072,9955504
hash,2572099,81812560,10082690
hash,2572100,80795208,9955521
hash,2572101,80822336,9958912
hash,2572102,80799512,9956059
hash,2572103,137422173736,17177627837
hash,2572104,80795264,9955528
hash,2572105,80795288,9955531
hash,2572106,137422173736,17177627837
hash,2572107,80785512,9954309
hash,2572108,80795112,9955509
hash,2572109,80795072,9955504
hash,2572110,80795120,9955510
