variante,ciclo,endereco,endereco_norm
historico_lista,2666536,137422173688,17177627831
historico_lista,2666537,137422173712,17177627834
historico_lista,2666538,137422173720,17177627835
historico_lista,2666539,137422173768,17177627841
historico_lista,2666540,137422173736,17177627837
historico_lista,2666541,137422173704,17177627833
historico_lista,2666542,137422173672,17177627829
historico_lista,2666543,67516732,8295711
historico_lista,2666544,137422173680,17177627830
historico_lista,2666545,137422173688,17177627831
historico_lista,2666546,137422173712,17177627834
historico_lista,2666547,137422173720,17177627835
historico_lista,2666548,137422173772,17177627841
historico_lista,2666549,1176352,3164
historico_lista,2666550,137422173768,17177627841
historico_lista,2666551,137422173744,17177627838
historico_lista,2666552,137422173704,17177627833
historico_lista,2666553,137422173700,17177627832
historico_lista,2666554,137422173672,17177627829
historico_lista,2666555,137422173840,17177627850
historico_lista,2666556,137422173668,17177627828
historico_lista,2666557,137422173680,17177627830
historico_lista,2666558,137422173688,17177627831
historico_lista,2666559,67516100,8295632
historico_lista,2666560,137422173712,17177627834
historico_lista,2666561,137422173720,17177627835
historico_lista,2666562,137422173772,17177627841
historico_lista,2666563,137422173736,17177627837
historico_lista,2666564,137422173704,17177627833
historico_lista,2666565,137422173700,17177627832
historico_lista,2666566,137422173672,17177627829
historico_lista,2666567,67516720,8295710
historico_lista,2666568,137422173668,17177627828
historico_lista,2666569,137422173680,17177627830
historico_lista,2666570,137422173688,17177627831
historico_lista,2666571,67522076,8296379
historico_lista,2666572,137422173712,17177627834
historico_lista,2666573,137422173720,17177627835
historico_lista,2666574,137422173768,17177627841
historico_lista,2666575,137422173744,17177627838
historico_lista,2666576,137422173704,17177627833
historico_lista,2666577,137422173700,17177627832
historico_lista,2666578,137422173672,17177627829
historico_lista,2666579,137422173840,17177627850
historico_lista,2666580,137422173668,17177627828
historico_lista,2666581,137422173680,17177627830
historico_lista,2666582,137422173688,17177627831
historico_lista,2666583,67516100,8295632
historico_lista,2666584,137422173712,17177627834
historico_lista,2666585,137422173720,17177627835
historico_lista,2666586,137422173772,17177627841
historico_lista,2666587,137422173736,17177627837
historico_lista,2666588,137422173704,17177627833
historico_lista,2666589,137422173700,17177627832
historico_lista,2666590,137422173672,17177627829
historico_lista,2666591,67516720,8295710
historico_lista,2666592,137422173668,17177627828
historico_lista,2666593,137422173680,17177627830
historico_lista,2666594,137422173688,17177627831
historico_lista,2666595,67522076,8296379
historico_lista,2666596,137422173712,17177627834
historico_lista,2666597,137422173720,17177627835
historico_lista,2666598,137422173744,17177627838
historico_lista,2666599,137422173704,17177627833
historico_lista,2666600,137422173672,17177627829
historico_lista,2666601,137422173852,17177627851
historico_lista,2666602,137422173680,17177627830
historico_lista,2666603,137422173688,17177627831
historico_lista,2666604,137422173712,17177627834
historico_lista,2666605,137422173720,17177627835
historico_lista,2666606,137422173768,17177627841
historico_lista,2666607,137422173736,17177627837
historico_lista,2666608,137422173704,17177627833
historico_lista,2666609,137422173672,17177627829
historico_lista,2666610,67516732,8295711
historico_lista,2666611,137422173680,17177627830
historico_lista,2666612,137422173688,17177627831
historico_lista,2666613,137422173712,17177627834
historico_lista,2666614,137422173720,17177627835
historico_lista,2666615,137422173772,17177627841
historico_lista,2666616,1176352,3164
historico_lista,2666617,137422173768,17177627841
historico_lista,2666618,137422173744,17177627838
historico_lista,2666619,137422173704,17177627833
historico_lista,2666620,137422173700,17177627832
historico_lista,2666621,137422173672,17177627829
historico_lista,2666622,137422173840,17177627850
historico_lista,2666623,137422173668,17177627828
historico_lista,2666624,137422173680,17177627830
historico_lista,2666625,137422173688,17177627831
historico_lista,2666626,67516100,8295632
historico_lista,2666627,137422173712,17177627834
historico_lista,2666628,137422173720,17177627835
historico_lista,2666629,137422173772,17177627841
historico_lista,2666630,137422173736,17177627837
historico_lista,2666631,137422173704,17177627833
historico_lista,2666632,137422173700,17177627832
historico_lista,2666633,137422173672,17177627829
historico_lista,2666634,67516720,8295710
historico_lista,2666635,137422173668,17177627828
historico_lista,2666636,137422173680,17177627830
historico_lista,2666637,137422173688,17177627831
historico_lista,2666638,67522080,8296380
historico_lista,2666639,137422173712,17177627834
historico_lista,2666640,137422173720,17177627835
historico_lista,2666641,137422173744,17177627838
historico_lista,2666642,137422173704,17177627833
historico_lista,2666643,137422173672,17177627829
historico_lista,2666644,137422173852,17177627851
historico_lista,2666645,137422173680,17177627830
historico_lista,2666646,137422173688,17177627831
historico_lista,2666647,137422173712,17177627834
historico_lista,2666648,137422173720,17177627835
historico_lista,2666649,137422173768,17177627841
historico_lista,2666650,137422173736,17177627837
historico_lista,2666651,137422173704,17177627833
historico_lista,2666652,137422173672,17177627829
historico_lista,2666653,67516732,8295711
historico_lista,2666654,137422173680,17177627830
historico_lista,2666655,137422173688,17177627831
historico_lista,2666656,137422173712,17177627834
historico_lista,2666657,137422173720,17177627835
historico_lista,2666658,137422173772,17177627841
historico_lista,2666659,1176352,3164
historico_lista,2666660,137422173768,17177627841
historico_lista,2666661,137422173744,17177627838
historico_lista,2666662,137422173704,17177627833
historico_lista,2666663,137422173700,17177627832
historico_lista,2666664,137422173672,17177627829
historico_lista,2666665,137422173840,17177627850
historico_lista,2666666,137422173668,17177627828
historico_lista,2666667,137422173680,17177627830
historico_lista,2666668,137422173688,17177627831
historico_lista,2666669,67516104,8295633
historico_lista,2666670,137422173712,17177627834
historico_lista,2666671,137422173720,17177627835
historico_lista,2666672,137422173772,17177627841
historico_lista,2666673,137422173736,17177627837
historico_lista,2666674,137422173704,17177627833
historico_lista,2666675,137422173700,17177627832
historico_lista,2666676,137422173672,17177627829
historico_lista,2666677,67516720,8295710
historico_lista,2666678,137422173668,17177627828
historico_lista,2666679,137422173680,17177627830
historico_lista,2666680,137422173688,17177627831
historico_lista,2666681,67522080,8296380
historico_lista,2666682,137422173712,17177627834
historico_lista,2666683,137422173720,17177627835
historico_lista,2666684,137422173768,17177627841
historico_lista,2666685,137422173744,17177627838
historico_lista,2666686,137422173704,17177627833
historico_lista,2666687,137422173700,17177627832
historico_lista,2666688,137422173672,17177627829
historico_lista,2666689,137422173840,17177627850
historico_lista,2666690,137422173668,17177627828
historico_lista,2666691,137422173680,17177627830
historico_lista,2666692,137422173688,17177627831
historico_lista,2666693,67516104,8295633
historico_lista,2666694,137422173712,17177627834
historico_lista,2666695,137422173720,17177627835
historico_lista,2666696,137422173772,17177627841
historico_lista,2666697,137422173736,17177627837
historico_lista,2666698,137422173704,17177627833
historico_lista,2666699,137422173700,17177627832
historico_lista,2666700,137422173672,17177627829
historico_lista,2666701,67516720,8295710
historico_lista,2666702,137422173668,17177627828
historico_lista,2666703,137422173680,17177627830
historico_lista,2666704,137422173688,17177627831
historico_lista,2666705,67522080,8296380
historico_lista,2666706,137422173712,17177627834
historico_lista,2666707,137422173720,17177627835
historico_lista,2666708,137422173744,17177627838
historico_lista,2666709,137422173704,17177627833
historico_lista,2666710,137422173672,17177627829
historico_lista,2666711,137422173852,17177627851
historico_lista,2666712,137422173680,17177627830
historico_lista,2666713,137422173688,17177627831
historico_lista,2666714,137422173712,17177627834
historico_lista,2666715,137422173720,17177627835
historico_lista,2666716,137422173768,17177627841
historico_lista,2666717,137422173736,17177627837
historico_lista,2666718,137422173704,17177627833
historico_lista,2666719,137422173672,17177627829
historico_lista,2666720,67516732,8295711
historico_lista,2666721,137422173680,17177627830
historico_lista,2666722,137422173688,17177627831
historico_lista,2666723,137422173712,17177627834
historico_lista,2666724,137422173720,17177627835
historico_lista,2666725,137422173772,17177627841
historico_lista,2666726,1176352,3164
historico_lista,2666727,137422173768,17177627841
historico_lista,2666728,137422173744,17177627838
historico_lista,2666729,137422173704,17177627833
historico_lista,2666730,137422173700,17177627832
historico_lista,2666731,137422173672,17177627829
historico_lista,2666732,137422173840,17177627850
historico_lista,2666733,137422173668,17177627828
historico_lista,2666734,137422173680,17177627830
historico_lista,2666735,137422173688,17177627831
historico_lista,2666736,67516104,8295633
historico_lista,2666737,137422173712,17177627834
historico_lista,2666738,137422173720,17177627835
historico_lista,2666739,137422173772,17177627841
historico_lista,2666740,137422173736,17177627837
historico_lista,2666741,137422173704,17177627833
historico_lista,2666742,137422173700,17177627832
historico_lista,2666743,137422173672,17177627829
historico_lista,2666744,67516720,8295710
historico_lista,2666745,137422173668,17177627828
historico_lista,2666746,137422173680,17177627830
historico_lista,2666747,137422173688,17177627831
historico_lista,2666748,67522084,8296380
historico_lista,2666749,137422173712,17177627834
historico_lista,2666750,137422173720,17177627835
historico_lista,2666751,137422173744,17177627838
historico_lista,2666752,137422173704,17177627833
historico_lista,2666753,137422173672,17177627829
historico_lista,2666754,137422173852,17177627851
historico_lista,2666755,137422173680,17177627830
historico_lista,2666756,137422173688,17177627831
historico_lista,2666757,137422173712,17177627834
historico_lista,2666758,137422173720,17177627835
historico_lista,2666759,137422173768,17177627841
historico_lista,2666760,137422173736,17177627837
historico_lista,2666761,137422173704,17177627833
historico_lista,2666762,137422173672,17177627829
historico_lista,2666763,67516732,8295711
historico_lista,2666764,137422173680,17177627830
historico_lista,2666765,137422173688,17177627831
historico_lista,2666766,137422173712,17177627834
historico_lista,2666767,137422173720,17177627835
historico_lista,2666768,137422173772,17177627841
historico_lista,2666769,1176352,3164
historico_lista,2666770,137422173768,17177627841
historico_lista,2666771,137422173744,17177627838
historico_lista,2666772,137422173704,17177627833
