variante,ciclo,endereco,endereco_norm
historico_matriz,3126831,80795120,9955420
historico_matriz,3126832,80788400,9954580
historico_matriz,3126833,1151784,3
historico_matriz,3126834,137422173736,17177627747
historico_matriz,3126835,137422173752,17177627749
historico_matriz,3126836,137422173768,17177627751
historico_matriz,3126837,137422173776,17177627752
historico_matriz,3126838,137422173784,17177627753
historico_matriz,3126839,137422173792,17177627754
historico_matriz,3126840,137422173800,17177627755
historico_matriz,3126841,137422173808,17177627756
historico_matriz,3126842,137422173816,17177627757
historico_matriz,3126843,80795072,9955414
historico_matriz,3126844,80795208,9955431
historico_matriz,3126845,80822336,9958822
historico_matriz,3126846,80799508,9955968
historico_matriz,3126847,137422173848,17177627761
historico_matriz,3126848,137422173856,17177627762
historico_matriz,3126849,137422173864,17177627763
historico_matriz,3126850,137422173872,17177627764
historico_matriz,3126851,137422173880,17177627765
historico_matriz,3126852,137422173888,17177627766
historico_matriz,3126853,137422173896,17177627767
historico_matriz,3126854,1175616,2982
historico_matriz,3126855,78451448,9662461
historico_matriz,3126856,137422173960,17177627775
historico_matriz,3126857,1175616,2982
historico_matriz,3126858,78451448,9662461
historico_matriz,3126859,1175649,2986
historico_matriz,3126860,137422173976,17177627777
historico_matriz,3126861,81812584,10082603
historico_matriz,3126862,137422173992,17177627779
historico_matriz,3126863,137422174000,17177627780
historico_matriz,3126864,137422174008,17177627781
historico_matriz,3126865,137422174016,17177627782
historico_matriz,3126866,137422174024,17177627783
historico_matriz,3126867,137422174032,17177627784
historico_matriz,3126868,137422174040,17177627785
historico_matriz,3126869,137422174048,17177627786
historico_matriz,3126870,137422174056,17177627787
historico_matriz,3126871,137422174064,17177627788
historico_matriz,3126872,137422174072,17177627789
historico_matriz,3126873,137422174088,17177627791
historico_matriz,3126874,1175312,2944
historico_matriz,3126875,67448000,8287030
historico_matriz,3126876,67447992,8287029
historico_matriz,3126877,78468008,9664531
historico_matriz,3126878,81812584,10082603
historico_matriz,3126879,78471112,9664919
historico_matriz,3126880,1175616,2982
historico_matriz,3126881,78451448,9662461
historico_matriz,3126882,1175840,3010
historico_matriz,3126883,1175656,2987
historico_matriz,3126884,137422173904,17177627768
historico_matriz,3126885,137422173912,17177627769
historico_matriz,3126886,137422173920,17177627770
historico_matriz,3126887,137422173928,17177627771
historico_matriz,3126888,137422173984,17177627778
historico_matriz,3126889,1175616,2982
historico_matriz,3126890,78451448,9662461
historico_matriz,3126891,1175640,2985
historico_matriz,3126892,1175856,3012
historico_matriz,3126893,137422173976,17177627777
historico_matriz,3126894,78474848,9665386
historico_matriz,3126895,78445160,9661675
historico_matriz,3126896,78474912,9665394
historico_matriz,3126897,78470296,9664817
historico_matriz,3126898,80795072,9955414
historico_matriz,3126899,81812560,10082600
historico_matriz,3126900,80795208,9955431
historico_matriz,3126901,80822336,9958822
historico_matriz,3126902,80799512,9955969
historico_matriz,3126903,137422173864,17177627763
historico_matriz,3126904,80795264,9955438
historico_matriz,3126905,80795288,9955441
historico_matriz,3126906,137422173864,17177627763
historico_matriz,3126907,80785512,9954219
historico_matriz,3126908,80795112,9955419
historico_matriz,3126909,80795072,9955414
historico_matriz,3126910,80795120,9955420
historico_matriz,3126911,80788400,9954580
historico_matriz,3126912,67448008,8287031
historico_matriz,3126913,67448008,8287031
historico_matriz,3126914,137422173768,17177627751
historico_matriz,3126915,137422173784,17177627753
historico_matriz,3126916,137422173800,17177627755
historico_matriz,3126917,137422173808,17177627756
historico_matriz,3126918,137422173816,17177627757
historico_matriz,3126919,137422173824,17177627758
historico_matriz,3126920,137422173832,17177627759
historico_matriz,3126921,137422173840,17177627760
historico_matriz,3126922,137422173848,17177627761
historico_matriz,3126923,80795072,9955414
historico_matriz,3126924,80795208,9955431
historico_matriz,3126925,80822336,9958822
historico_matriz,3126926,80799508,9955968
historico_matriz,3126927,137422173880,17177627765
historico_matriz,3126928,137422173888,17177627766
historico_matriz,3126929,137422173896,17177627767
historico_matriz,3126930,137422173904,17177627768
historico_matriz,3126931,137422173912,17177627769
historico_matriz,3126932,137422173920,17177627770
historico_matriz,3126933,137422173928,17177627771
historico_matriz,3126934,1175616,2982
historico_matriz,3126935,78451448,9662461
historico_matriz,3126936,137422173992,17177627779
historico_matriz,3126937,1175616,2982
historico_matriz,3126938,78451448,9662461
historico_matriz,3126939,1175649,2986
historico_matriz,3126940,137422174008,17177627781
historico_matriz,3126941,81812584,10082603
historico_matriz,3126942,137422174024,17177627783
historico_matriz,3126943,137422174032,17177627784
historico_matriz,3126944,137422174040,17177627785
