experimento,parametro,valor,variante,seed,usuarios,produtos,compras,reposicoes,consultas_lu,consultas_lp,consultas_lc,consultas_lr,filtros,pct_booleano,pct_faixa_preco_qtd,tempo_total_s,total_estimado_bytes,rss_kb,indices_bytes,comparacoes_conjunto,insercoes_indice
E01_usuarios,usuarios,200,vetor,42,200,1000,200,200,100,100,100,100,2,0,0,0.019135,1057337,4728,424185,34405,12200
E01_usuarios,usuarios,200,hash,42,200,1000,200,200,100,100,100,100,2,0,0,0.016690,1231741,4908,598589,34405,12200
E01_usuarios,usuarios,500,vetor,42,500,1000,200,200,100,100,100,100,2,0,0,0.025534,1187969,4808,475441,38076,14300
E01_usuarios,usuarios,500,hash,42,500,1000,200,200,100,100,100,100,2,0,0,0.019435,1387041,5052,674513,38076,14300
E01_usuarios,usuarios,1000,vetor,42,1000,1000,200,200,100,100,100,100,2,0,0,0.019052,1414501,5020,568229,48132,17800
E01_usuarios,usuarios,1000,hash,42,1000,1000,200,200,100,100,100,100,2,0,0,0.022688,1649501,5236,803229,48132,17800
E01_usuarios,usuarios,2000,vetor,42,2000,1000,200,200,100,100,100,100,2,0,0,0.046818,2006613,5460,756021,75417,24800
E01_usuarios,usuarios,2000,hash,42,2000,1000,200,200,100,100,100,100,2,0,0,0.020969,2318181,5800,1067589,75417,24800
E01_usuarios,usuarios,4000,vetor,42,4000,1000,200,200,100,100,100,100,2,0,0,0.099467,3182009,6288,1122649,122142,38800
E01_usuarios,usuarios,4000,hash,42,4000,1000,200,200,100,100,100,100,2,0,0,0.030906,3647349,6812,1587989,122142,38800
E02_produtos,produtos,200,vetor,42,1000,200,200,200,100,100,100,100,2,0,0,0.014920,881285,4612,359493,25986,12200
E02_produtos,produtos,200,hash,42,1000,200,200,200,100,100,100,100,2,0,0,0.009185,1027405,4772,505613,25986,12200
E02_produtos,produtos,500,vetor,42,1000,500,200,200,100,100,100,100,2,0,0,0.015031,1080297,4752,442009,35900,14300
E02_produtos,produtos,500,hash,42,1000,500,200,200,100,100,100,100,2,0,0,0.016065,1265713,4992,627425,35900,14300
E02_produtos,produtos,1000,vetor,42,1000,1000,200,200,100,100,100,100,2,0,0,0.022950,1414501,5072,568229,48132,17800
E02_produtos,produtos,1000,hash,42,1000,1000,200,200,100,100,100,100,2,0,0,0.018350,1649501,5316,803229,48132,17800
E02_produtos,produtos,2000,vetor,42,1000,2000,200,200,100,100,100,100,2,0,0,0.059924,2109397,5584,847349,75520,24800
E02_produtos,produtos,2000,hash,42,1000,2000,200,200,100,100,100,100,2,0,0,0.024904,2421253,5960,1159205,75520,24800
E02_produtos,produtos,4000,vetor,42,1000,4000,200,200,100,100,100,100,2,0,0,0.104553,3448989,6612,1355261,145341,38800
E02_produtos,produtos,4000,hash,42,1000,4000,200,200,100,100,100,100,2,0,0,0.038308,3916309,7176,1822581,145341,38800
E03_transacoes,compras_reposicoes,50,vetor,42,1000,1000,50,50,100,100,100,100,2,0,0,0.017445,1320065,4924,493345,52135,14950
E03_transacoes,compras_reposicoes,50,hash,42,1000,1000,50,50,100,100,100,100,2,0,0,0.020805,1493309,5056,666589,52135,14950
E03_transacoes,compras_reposicoes,100,vetor,42,1000,1000,100,100,100,100,100,100,2,0,0,0.019452,1359681,4944,526465,54695,15900
E03_transacoes,compras_reposicoes,100,hash,42,1000,1000,100,100,100,100,100,100,2,0,0,0.017768,1553261,5184,720045,54695,15900
E03_transacoes,compras_reposicoes,200,vetor,42,1000,1000,200,200,100,100,100,100,2,0,0,0.021248,1414501,5072,568229,48132,17800
E03_transacoes,compras_reposicoes,200,hash,42,1000,1000,200,200,100,100,100,100,2,0,0,0.018660,1649501,5280,803229,48132,17800
