experimento,compras,historico_tipo,seed,usuarios,produtos,reposicoes,tempo_total_s,total_estimado_bytes,historico_bytes,rss_kb,tempo_medio_C_ns,tempo_medio_LU_ns,tempo_medio_LP_ns,count_C,count_LU,count_LP
H01_compras,50,lista,42,1000,1000,200,0.020778,1365409,160768,4984,5842,9435,23332,50,100,100
H01_compras,50,matriz,42,1000,1000,200,0.054712,9333409,8128768,12772,6164,33599,84040,50,100,100
H01_compras,100,lista,42,1000,1000,200,0.021433,1385793,160768,5024,8071,11849,23599,100,100,100
H01_compras,100,matriz,42,1000,1000,200,0.056265,9353793,8128768,12800,8397,47127,76866,100,100,100
H01_compras,200,lista,42,1000,1000,200,0.023099,1414501,160832,5020,10787,13254,36843,200,100,100
H01_compras,200,matriz,42,1000,1000,200,0.067346,9382437,8128768,12816,10750,50282,127367,200,100,100
H01_compras,400,lista,42,1000,1000,200,0.037378,1484037,161024,5164,15177,15716,32426,400,100,100
H01_compras,400,matriz,42,1000,1000,200,0.074438,9451781,8128768,12952,13256,52594,93526,400,100,100
H01_compras,800,lista,42,1000,1000,200,0.039911,1601241,164416,5348,14342,22765,51868,800,100,100
H01_compras,800,matriz,42,1000,1000,200,0.085560,9565593,8128768,13100,14108,68448,146046,800,100,100
