experimento,perfil,variante,seed,usuarios,produtos,compras,reposicoes,consultas,itens_transacao,filtros,tipo_consulta,total_linhas,tempo_total_s,tempo_medio_U_ns,tempo_medio_P_ns,tempo_medio_C_ns,tempo_medio_R_ns,tempo_medio_LU_ns,tempo_medio_LP_ns,tempo_medio_LC_ns,tempo_medio_LR_ns,count_U,count_P,count_C,count_R,count_LU,count_LP,count_LC,count_LR,comparacoes_conjunto,insercoes_indice,total_estimado_bytes,rss_kb,indices_bytes,historico_bytes
RAPIDO_cadastros,cadastros,avl,42,,,,,,3,2,misto,3000,0.113864,7100,8073,9056,13323,317035,450418,16739,226495,1049,1049,300,300,58,78,93,71,62304,20386,1875827,5248,766587,94208
RAPIDO_cadastros,cadastros,hash,42,,,,,,3,2,misto,3000,0.119981,6697,10687,12151,10593,315393,442862,15705,222731,1049,1049,300,300,58,78,93,71,62304,20386,1971715,5340,862475,94208
RAPIDO_transacoes,transacoes,avl,42,,,,,,5,2,misto,3000,0.557562,7167,9935,27487,19617,126265,115544,54669,1107154,149,150,674,675,354,345,315,336,142900,20304,777222,4748,451178,78656
RAPIDO_transacoes,transacoes,hash,42,,,,,,5,2,misto,3000,0.573171,7204,9836,18759,14768,129469,115801,66657,1181307,149,150,674,675,354,345,315,336,142900,20304,812150,4712,486106,78656
RAPIDO_consultas,consultas,avl,42,,,,,,3,2,misto,3000,0.340476,7592,10148,15147,11967,91829,95338,36046,410915,224,225,382,383,466,440,408,470,157620,10410,578280,4464,337332,33728
RAPIDO_consultas,consultas,hash,42,,,,,,3,2,misto,3000,0.279342,3772,4430,7560,6580,81378,83593,33030,345603,224,225,382,383,466,440,408,470,157620,10410,591256,4512,350308,33728
P01_perfil_cadastros,cadastros,avl,42,,,,,,5,2,misto,15000,3.604038,5136,5589,7869,6769,3311150,3670680,113788,1862457,5249,5249,1500,1500,374,376,342,408,1800227,113986,8918211,10832,3913451,486304
P01_perfil_cadastros,cadastros,hash,42,,,,,,5,2,misto,15000,3.530730,4658,7100,6078,5240,3256579,3599034,108057,1813653,5249,5249,1500,1500,374,376,342,408,1800227,113986,9157731,11060,4152971,486304
P01_perfil_cadastros,cadastros,avl,43,,,,,,5,2,misto,15000,3.530499,4672,5201,7478,6543,3588409,3799007,161558,1575932,5249,5249,1500,1500,348,374,377,401,1765189,113986,8910403,10848,3904523,487424
P01_perfil_cadastros,cadastros,hash,43,,,,,,5,2,misto,15000,3.844984,4974,5617,6148,5334,3782111,4172142,182095,1747354,5249,5249,1500,1500,348,374,377,401,1765189,113986,9149987,11064,4144107,487424
