experimento,perfil,variante,seed,usuarios,produtos,compras,reposicoes,consultas,itens_transacao,filtros,tipo_consulta,total_linhas,tempo_total_s,tempo_medio_U_ns,tempo_medio_P_ns,tempo_medio_C_ns,tempo_medio_R_ns,tempo_medio_LU_ns,tempo_medio_LP_ns,tempo_medio_LC_ns,tempo_medio_LR_ns,count_U,count_P,count_C,count_R,count_LU,count_LP,count_LC,count_LR,comparacoes_conjunto,insercoes_indice,total_estimado_bytes,rss_kb,indices_bytes,historico_bytes
Q01_consultas_tipo_50,,vetor,42,1000,1000,200,200,50,3,2,exata,2602,0.035232,6227,6301,22350,19289,28572,50456,2176,2235,1000,1000,200,200,50,50,50,50,23228,17800,1251813,4816,509381,53728
Q01_consultas_tipo_50,,hash,42,1000,1000,200,200,50,3,2,exata,2602,0.032553,4241,5763,11007,7609,27883,71149,3961,4078,1000,1000,200,200,50,50,50,50,23228,17800,1428541,5016,686109,53728
Q02_consultas_tipo_100,,vetor,42,1000,1000,200,200,100,3,2,exata,2802,0.034027,6262,6515,10972,9555,13966,39775,2488,2294,1000,1000,200,200,100,100,100,100,48132,17800,1251813,4872,509381,53728
Q02_consultas_tipo_100,,hash,42,1000,1000,200,200,100,3,2,exata,2802,0.018314,2103,2617,4158,3519,14363,38431,1501,1616,1000,1000,200,200,100,100,100,100,48132,17800,1428541,5036,686109,53728
Q03_consultas_tipo_200,,vetor,42,1000,1000,200,200,200,3,2,exata,3202,0.042242,7708,7776,11020,13322,12696,34236,1520,1643,1000,1000,200,200,200,200,200,200,98600,17800,1251813,4876,509381,53728
Q03_consultas_tipo_200,,hash,42,1000,1000,200,200,200,3,2,exata,3202,0.033195,4654,5110,5948,5119,12477,33536,1428,1591,1000,1000,200,200,200,200,200,200,98600,17800,1428541,5072,686109,53728
Q04_consultas_tipo_300,,vetor,42,1000,1000,200,200,300,3,2,exata,3602,0.047751,6727,8521,11324,11332,12731,31092,1527,1698,1000,1000,200,200,300,300,300,300,149713,17800,1251813,4872,509381,53728
Q04_consultas_tipo_300,,hash,42,1000,1000,200,200,300,3,2,exata,3602,0.032519,2464,2710,4193,3426,16839,30580,1436,1684,1000,1000,200,200,300,300,300,300,149713,17800,1428541,5064,686109,53728
Q05_consultas_tipo_400,,vetor,42,1000,1000,200,200,400,3,2,exata,4002,0.061027,7231,7508,17082,15657,20039,37317,1527,1777,1000,1000,200,200,400,400,400,400,198924,17800,1251813,4836,509381,53728
Q05_consultas_tipo_400,,hash,42,1000,1000,200,200,400,3,2,exata,4002,0.050479,4567,7162,6906,5838,15008,35754,1412,1593,1000,1000,200,200,400,400,400,400,198924,17800,1428541,5040,686109,53728
Q06_consultas_tipo_500,,vetor,42,1000,1000,200,200,500,3,2,exata,4402,0.074821,9682,6373,18873,15054,20064,39992,2693,2885,1000,1000,200,200,500,500,500,500,251619,17800,1251813,4872,509381,53728
Q06_consultas_tipo_500,,hash,42,1000,1000,200,200,500,3,2,exata,4402,0.051634,3946,4202,4135,3663,12713,41829,1451,1561,1000,1000,200,200,500,500,500,500,251619,17800,1428541,5036,686109,53728
Q07_consultas_tipo_600,,vetor,42,1000,1000,200,200,600,3,2,exata,4802,0.068006,7397,7047,10953,10197,12870,40568,1521,1645,1000,1000,200,200,600,600,600,600,303149,17800,1251813,4820,509381,53728
Q07_consultas_tipo_600,,hash,42,1000,1000,200,200,600,3,2,exata,4802,0.050887,3903,4017,3997,3611,12660,31411,1441,1565,1000,1000,200,200,600,600,600,600,303149,17800,1428541,5084,686109,53728
Q08_consultas_tipo_800,,vetor,42,1000,1000,200,200,800,3,2,exata,5602,0.071810,3655,4175,17426,11269,21213,30843,1535,1703,1000,1000,200,200,800,800,800,800,405904,17800,1251813,4836,509381,53728
Q08_consultas_tipo_800,,hash,42,1000,1000,200,200,800,3,2,exata,5602,0.069611,3647,5323,5315,5305,14097,30652,1442,1605,1000,1000,200,200,800,800,800,800,405904,17800,1428541,5028,686109,53728
Q09_consultas_tipo_1000,,vetor,42,1000,1000,200,200,1000,3,2,exata,6402,0.088908,6289,7964,16961,14898,14443,29456,1487,1668,1000,1000,200,200,1000,1000,1000,1000,500719,17800,1251813,4884,509381,53728
Q09_consultas_tipo_1000,,hash,42,1000,1000,200,200,1000,3,2,exata,6402,0.089515,3813,5404,6317,5249,22716,32021,1424,1551,1000,1000,200,200,1000,1000,1000,1000,500719,17800,1428541,5088,686109,53728
